Name,Fulladdress,Street,Categories,Phone,Phones,Claimed,Review Count,Average Rating,Review URL,Google Maps URL,Latitude,Longitude,Website,Domain,Opening Hours,Featured Image,Cid,Place Id,Price,Email,Social Medias
"OFC Gym, Best Affordable Luxury Gym Chowpatty Mumbai","First Floor, OFC Gym, 21, opposite Chowpatty, Mumbai, Maharashtra 400007",First Floor,"Gymnastics center,Fitness center,Gym",087798 10082,"087798 10082,+91 87798 10082",false,120,4.3,https://search.google.com/local/reviews?placeid=ChIJwWPAWTbP5zsR1gF0umdb_8Y&q=luxury+gyms+in+Mumbai&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=14339280239638872534,18.9560277,72.8123482,https://omkarfitnessclub.in/,omkarfitnessclub.in,"Wednesday:6 am–11 pm,Thursday:6 am–11 pm,Friday:6 am–11 pm,Saturday:6 am–10 pm,Sunday:7 am–2 pm,Monday:6 am–11 pm,Tuesday:6 am–11 pm",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWlrPutdEUn02IIrzVpAV-u1WAXu8_MKTtd_7ibSaFlxDDKk5O09nFeyDgZ8CU19ac3zqR1tTPR1XYiRYc19Cbe7LuKJPlcqrCcZJoL23ZVcv5AAoMRkL3aCtaPTbAlkH5G8VZ_O3Q=w122-h92-k-no,14339280239638872534,ChIJwWPAWTbP5zsR1gF0umdb_8Y,,visible after upgrade,visible after upgrade
I Think Fitness,"4th Floor, St. Paul Media Complex, 24th, Turner Rd, opp. Duruelo Convent High School, Bandra West, Mumbai, Maharashtra 400050",4th Floor,Gym,077180 33300,"077180 33300,+91 77180 33300",false,270,4.5,https://search.google.com/local/reviews?placeid=ChIJY4T-NhTJ5zsR-6eOJSoRazw&q=luxury+gyms+in+Mumbai&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=4353592337500121083,19.0611149,72.8323465,http://facebook.com/ithinkfitness,facebook.com,"Wednesday:6 am–11 pm,Thursday:6 am–11 pm,Friday:6 am–11 pm,Saturday:6 am–10 pm,Sunday:10 am–7 pm,Monday:6 am–11 pm,Tuesday:6 am–11 pm",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmzesbVOqDbHa2U1fFfNhESYwoqIuqQ5Ytd9U5ckoBVhpxkMJt5bp0paaOfM1uAsYiL3_DS-AGBQnJQjNfFFcR1hLCLTeEeTpcg_OIbk3E89Z81mFgyS0VCGKakKsNIHZ2uaew4=w163-h92-k-no,4353592337500121083,ChIJY4T-NhTJ5zsR-6eOJSoRazw,,visible after upgrade,visible after upgrade
Iron Paradise: Best Gym in Malad | Gym in Kandivali | Fitness Center,"Swami Vivekanand Rd, behind Milap petrol pump, opposite Thuga hospital Kandivali, Kandivali, Goraswadi, Malad West, Mumbai, Maharashtra 400064",Swami Vivekanand Rd,"Gym,Fitness center,Gymnastics club,Personal trainer,Physical fitness program,Weight loss service",090829 19410,"090829 19410,+91 90829 19410",false,1303,4.9,https://search.google.com/local/reviews?placeid=ChIJkcqQP7a35zsR9rxrfdmB7VA&q=luxury+gyms+in+Mumbai&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=5831459863626759414,19.1956333,72.84624389999999,https://www.ironparadiseclubhouse.com/gym-in-malad.php,ironparadiseclubhouse.com,"Wednesday:6 am–11 pm,Thursday:6 am–11 pm,Friday:6 am–11 pm,Saturday:6 am–11 pm,Sunday:12–9 pm,Monday:6 am–11 pm,Tuesday:6 am–11 pm",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnT9uhidZUBkGOUUPDKOw9AXU_mErC-Xx9EuaVCPH9xt484-LTXIaJiwZGMNHjl8WKXogDTql-M5lSN_tNOqW9ygAqli1VOt0zwWEHX-xwCe3xQTGsSOhF81acyIBvitbyBDhu4rXNus0Xw=w92-h92-k-no,5831459863626759414,ChIJkcqQP7a35zsR9rxrfdmB7VA,,visible after upgrade,visible after upgrade
Plus Fitness 24/7 Mumbai Central,"Navjeevan Society Wing-A, Shop No 105, 1st Floor Nathani Heights, Commercial, Lamington Rd, Mumbai Central, Mumbai, Maharashtra 400008",Navjeevan Society Wing-A,"Gym,Fitness center,Personal trainer,Physical fitness program,Women's personal trainer",077009 54224,"077009 54224,+91 77009 54224",false,1092,4.7,https://search.google.com/local/reviews?placeid=ChIJCego7xPP5zsRYS72-euNG08&q=luxury+gyms+in+Mumbai&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=5700305798017986145,18.968528199999998,72.81980209999999,https://www.plusfitness.co.in/gyms/mumbai-central/,plusfitness.co.in,"Wednesday:Open 24 hours,Thursday:Open 24 hours,Friday:Open 24 hours,Saturday:Open 24 hours,Sunday:Open 24 hours,Monday:Open 24 hours,Tuesday:Open 24 hours",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmrA8Hb7-lAoiT-OsPODY2m_BNUL7mGhduELTPG9iDhy8C3y2nIKVVPJ2OSoGO9hvC-6CkVhXqO1F_GBkB7Uttf3FiMhAX53dYLzDnAxqXASTYjdoC5rFfcMoNYcF37j9oSgU3Wax8HQol1=w122-h92-k-no,5700305798017986145,ChIJCego7xPP5zsRYS72-euNG08,,visible after upgrade,visible after upgrade
Waves Gym,"5th Floor, Morya Estate, New Link Rd, opp. Infiniti Mall, Veera Desai Industrial Estate, Andheri West, Mumbai, Maharashtra 400053",5th Floor,"Gym,Fitness center,Indoor cycling,Personal trainer,Weight loss service,Weightlifting area,Yoga studio",022 6678 7970,"022 6678 7970,+91 22 6678 7970",false,897,4.9,https://search.google.com/local/reviews?placeid=ChIJmdvRWzy25zsRlvRQgdHMEWg&q=luxury+gyms+in+Mumbai&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=7499000054738384022,19.1414084,72.8319625,https://wavesgym.com/free-gym-trial/,wavesgym.com,"Wednesday:6 am–12 am,Thursday:6 am–12 am,Friday:6 am–12 am,Saturday:6 am–12 am,Sunday:6 am–10 pm,Monday:6 am–12 am,Tuesday:6 am–12 am",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWn0zb46OPeneQtX3DBoWnAel8DTCkAZV32o9a-wdk-jUWpQRmu9PLii6pJ8iBwr5DxKaEo8IBf7pKzG5U-SFV_xJr5z42LarzfXEJvkMYQ7JDtTPx1wUhaNEBqOTEW2-rKKhYoP=w80-h106-k-no,7499000054738384022,ChIJmdvRWzy25zsRlvRQgdHMEWg,,visible after upgrade,visible after upgrade
"Creed Culture GYM Kandivali,Best Gym in Kandivali |Best Gym in Mumbai","Government Industrial Estate, 105 ABC, Hindustan Naka, Charkop Industrial Estate, Kandivali West, Mumbai, Maharashtra 400067",Government Industrial Estate,"Gym,Fitness center,Sports nutrition store",093721 61805,"093721 61805,+91 93721 61805",false,430,4.3,https://search.google.com/local/reviews?placeid=ChIJe2zpeCe35zsRU7cby2zsxMM&q=luxury+gyms+in+Mumbai&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=14106659884839450451,19.2088932,72.828499,https://www.instagram.com/creedculturegym/,instagram.com,"Wednesday:6 am–11:30 pm,Thursday:6 am–11:30 pm,Friday:6 am–11:30 pm,Saturday:6 am–11:30 pm,Sunday:8 am–2 pm,Monday:6 am–11:30 pm,Tuesday:6 am–11:30 pm",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWl5NBm-e-3OMoBKCmUs0Y1ZqRLKNxwjPrLnNixyyFMgLKiOO30hGLXaU038KvExxmIMOPSvofCLkh9lX_R7E1kOM1FdGziuheg_GLwMN_cFkTQ0D4DrrT792RhO6tp9QRrEaSstuA=w138-h92-k-no,14106659884839450451,ChIJe2zpeCe35zsRU7cby2zsxMM,,visible after upgrade,visible after upgrade
Nitrro Bespoke Fitness Breach Candy,"Skybay, Nitrro Bespoke Fitness, Hubtown Skybay, Hubtown, Breach Candy, Cumballa Hill, Mumbai, Maharashtra 400026","Skybay, Nitrro Bespoke Fitness",Gym,091673 56491,"091673 56491,+91 91673 56491",false,317,4.3,https://search.google.com/local/reviews?placeid=ChIJ29BwJnjO5zsRabUH-5eOOpc&q=luxury+gyms+in+Mumbai&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=10897179031779128681,18.975167499999998,72.8061591,https://www.nitrro.in/south-mumbai/,nitrro.in,"Wednesday:6 am–11 pm,Thursday:6 am–11 pm,Friday:6 am–11 pm,Saturday:6 am–11 pm,Sunday:9 am–1 pm,Monday:6 am–11 pm,Tuesday:6 am–11 pm",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWncWxRKTyO7THm_lYeT9nxtLV-QBZ9TBHHAUun1WpPBqtb6MQ50fL2GFlKXPRPx6zsXkMmNB_Le2Za_3sS4qU1oR1JrWCdvmyrNWTljrR3htbeQj-C8VsVZo3T53cQVLKPqiPBC=w138-h92-k-no,10897179031779128681,ChIJ29BwJnjO5zsRabUH-5eOOpc,,visible after upgrade,visible after upgrade
"Fitness First Platinum Crest Mukta | Best gym in Andheri West, Mumbai","CTS-688, Crest Mukta, Offveera Desai Rd 2nd Floor, Plot N-18, near Balaji Telefilms, Andheri, Mumbai, Maharashtra 400053","CTS-688, Crest Mukta","Gym,Fitness center,Gymnasium school,Personal trainer,Physical fitness program,Training center,Weight loss service,Weightlifting area",022 6911 0700,"022 6911 0700,+91 22 6911 0700",false,682,4.1,https://search.google.com/local/reviews?placeid=ChIJra28NUe25zsRzy0M_j-GVR8&q=luxury+gyms+in+Mumbai&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=2257858397599444431,19.1359866,72.8353693,https://www.fitnessfirst.net.in/clubs/mega-mall-mumbai/,fitnessfirst.net.in,"Wednesday:6 am–11:30 pm,Thursday:6 am–11:30 pm,Friday:6 am–11:30 pm,Saturday:6 am–11:30 pm,Sunday:7 am–7 pm,Monday:6 am–11:30 pm,Tuesday:6 am–11:30 pm",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmLLW4Bqh0aAGX6Xnb2v8eFgm2pljT02PoC1WoLawj2DfT-iOoEW0DP2Zl2Z4gzIjiHT9WvYmkKeN6qbQ7ZGntsUmkP4K_3CdTe0q1tpWkATbxP18ppZejr3BWlr8v5bKlcmsLqUg=w163-h92-k-no,2257858397599444431,ChIJra28NUe25zsRzy0M_j-GVR8,,visible after upgrade,visible after upgrade
"Gold's Gym Bandra | Best Gym in Bandra, Mumbai","4th Floor, Landmark Building, Above HDFC Bank Dr BR Ambedkar Road, Pali Mala Rd, Bandra West, Mumbai, Maharashtra 400050","4th Floor, Landmark Building, Above HDFC Bank Dr BR Ambedkar Road","Gym,Fitness center,Gymnasium school,Personal trainer,Physical fitness program,Training center,Weight loss service,Weightlifting area",090290 02198,"090290 02198,+91 90290 02198",false,733,4.2,https://search.google.com/local/reviews?placeid=ChIJ____6mrJ5zsRkEKwfpSHW70&q=luxury+gyms+in+Mumbai&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=13644648567899439760,19.0613444,72.82925519999999,https://goldsgym.in/our-gyms/gold-s-gym-mumbai-bandra/,goldsgym.in,"Wednesday:6 am–11:45 pm,Thursday:6 am–11:45 pm,Friday:6 am–11:45 pm,Saturday:6 am–11:45 pm,Sunday:9 am–6 pm,Monday:6 am–11:45 pm,Tuesday:6 am–11:45 pm",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnVSh5chF49d5so6w5JrRSqlTBjHAlcJ3fDe80NT4L5lnC5gsknOKX67MypOysZx4UHl7KK2XXjL7xboXpPYZcvwWT9eqdta4GIk-D1C7PfK0urgTXEAtCqGDgUKj5TIrGZhknU=w138-h92-k-no,13644648567899439760,ChIJ____6mrJ5zsRkEKwfpSHW70,,visible after upgrade,visible after upgrade
Planet Muscle Performance & Fitness Centre,"3rd floor, Ward Office, Business Point building, Paliram Rd, near BMC K/W, Lohana Colony, Andheri West, Mumbai, Maharashtra 400058","3rd floor, Ward Office","Gym,Fitness center,Physiotherapy Center",084549 41861,"084549 41861,+91 84549 41861",false,648,4.5,https://search.google.com/local/reviews?placeid=ChIJpd8RamXJ5zsRFu46a8EkBmE&q=luxury+gyms+in+Mumbai&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=6991315884685585942,19.1195131,72.8440416,http://www.planetmuscle.fit/,planetmuscle.fit,"Wednesday:6 am–12 am,Thursday:6 am–12 am,Friday:6 am–12 am,Saturday:6 am–12 am,Sunday:12–9 pm,Monday:6 am–12 am,Tuesday:6 am–12 am",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmpFFPYAstVd37-NQlHlZU7_hxcosi6GT9Fg21-6EpBEx_FTgGf6PLRCtUovEZdXGZt9OD8A1CdNFVltQCGKF2KJlO5vhJxawXfs4LaUzSeITJ9dfprBGR04W0ZSuqy3KLHCQMTsA=w122-h92-k-no,6991315884685585942,ChIJpd8RamXJ5zsRFu46a8EkBmE,,visible after upgrade,visible after upgrade
